in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.2834833846E-12,9.4045110928E-02,9.0595488907E-01,3.1862819251E+03,1.0719858712E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.4463182184E-12,9.4045110907E-02,9.0595488909E-01,3.1862812054E+03,1.0719887786E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.6107814006E-12,9.4045110885E-02,9.0595488911E-01,3.1862804784E+03,1.0719917151E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.7768892146E-12,9.4045110863E-02,9.0595488914E-01,3.1862797442E+03,1.0719946810E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,6.9446581068E-12,9.4045110841E-02,9.0595488916E-01,3.1862790027E+03,1.0719976765E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.1141046878E-12,9.4045110819E-02,9.0595488918E-01,3.1862782537E+03,1.0720007020E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.2852457347E-12,9.4045110797E-02,9.0595488920E-01,3.1862774972E+03,1.0720037577E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.4580981921E-12,9.4045110775E-02,9.0595488923E-01,3.1862767332E+03,1.0720068439E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.6326791740E-12,9.4045110752E-02,9.0595488925E-01,3.1862759615E+03,1.0720099610E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.8090059657E-12,9.4045110729E-02,9.0595488927E-01,3.1862751822E+03,1.0720131092E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,7.9870960254E-12,9.4045110706E-02,9.0595488929E-01,3.1862743950E+03,1.0720162889E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.1669669856E-12,9.4045110682E-02,9.0595488932E-01,3.1862736000E+03,1.0720195004E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.3486366555E-12,9.4045110659E-02,9.0595488934E-01,3.1862727970E+03,1.0720227441E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.5321230220E-12,9.4045110635E-02,9.0595488937E-01,3.1862719860E+03,1.0720260201E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.7174442523E-12,9.4045110611E-02,9.0595488939E-01,3.1862711669E+03,1.0720293288E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,8.9046186948E-12,9.4045110586E-02,9.0595488941E-01,3.1862703395E+03,1.0720326707E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.0936648817E-12,9.4045110562E-02,9.0595488944E-01,3.1862695040E+03,1.0720360459E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.2846015306E-12,9.4045110537E-02,9.0595488946E-01,3.1862686600E+03,1.0720394549E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.4774475459E-12,9.4045110512E-02,9.0595488949E-01,3.1862678076E+03,1.0720428980E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.6722220213E-12,9.4045110486E-02,9.0595488951E-01,3.1862669467E+03,1.0720463754E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,9.8689442415E-12,9.4045110461E-02,9.0595488954E-01,3.1862660772E+03,1.0720498877E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0067633684E-11,9.4045110435E-02,9.0595488957E-01,3.1862651990E+03,1.0720534350E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0268310021E-11,9.4045110409E-02,9.0595488959E-01,3.1862643121E+03,1.0720570178E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0470993121E-11,9.4045110382E-02,9.0595488962E-01,3.1862634162E+03,1.0720606364E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0675703052E-11,9.4045110356E-02,9.0595488964E-01,3.1862625114E+03,1.0720642912E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.0882460083E-11,9.4045110329E-02,9.0595488967E-01,3.1862615976E+03,1.0720679825E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1091284684E-11,9.4045110302E-02,9.0595488970E-01,3.1862606746E+03,1.0720717107E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1302197530E-11,9.4045110274E-02,9.0595488973E-01,3.1862597424E+03,1.0720754761E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1515219506E-11,9.4045110246E-02,9.0595488975E-01,3.1862588009E+03,1.0720792792E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1730371701E-11,9.4045110218E-02,9.0595488978E-01,3.1862578499E+03,1.0720831203E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.1947675418E-11,9.4045110190E-02,9.0595488981E-01,3.1862568895E+03,1.0720869998E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.2167152172E-11,9.4045110161E-02,9.0595488984E-01,3.1862559194E+03,1.0720909181E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.2388823694E-11,9.4045110133E-02,9.0595488987E-01,3.1862549397E+03,1.0720948755E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.2612711931E-11,9.4045110103E-02,9.0595488990E-01,3.1862539501E+03,1.0720988725E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.2838839050E-11,9.4045110074E-02,9.0595488993E-01,3.1862529507E+03,1.0721029095E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.3067227440E-11,9.4045110044E-02,9.0595488996E-01,3.1862519413E+03,1.0721069868E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.3297899715E-11,9.4045110014E-02,9.0595488999E-01,3.1862509218E+03,1.0721111048E+03
